Tile ID,Image ID,Date,Region,Country,Biome Type,Latitude,Longitude,Elevation (m),Slope (°),Rainfall (mm),Temperature (°C),Cloud Cover (%),Fire Alerts (7d),NDVI (Vegetation Index),NDMI (Moisture Index),EVI (Enhanced Vegetation Index),Tree Cover (%),Canopy Height (m),Distance to Road (km),Distance to Settlement (km),Distance to River (km),"Protected Area (1=Yes,0=No)","Logging Concession (1=Yes,0=No)",Population Density (per km²),Forest Loss Last 3Y (%),Cumulative Deforested Area (%),"Deforestation Event (Yes=1,No=0)",Predicted Risk Score,Dataset Split,Image File Path
T0002,T0002_20240101,1/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,354.1,27.3,59.7,1,0.599,0.239,0.51,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.74,train,s3://sat-imagery/seasia/T0002/2024/01/01/tile.tif
T0002,T0002_20240201,2/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,360.1,26.9,46.5,4,0.575,0.212,0.476,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.762,train,s3://sat-imagery/seasia/T0002/2024/02/01/tile.tif
T0002,T0002_20240301,3/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,346.3,26.7,32.7,0,0.672,0.257,0.489,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.725,train,s3://sat-imagery/seasia/T0002/2024/03/01/tile.tif
T0002,T0002_20240401,4/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,255.2,26.8,45,4,0.614,0.239,0.476,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.756,train,s3://sat-imagery/seasia/T0002/2024/04/01/tile.tif
T0002,T0002_20240501,5/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,215.2,27.3,47,1,0.573,0.237,0.462,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.75,train,s3://sat-imagery/seasia/T0002/2024/05/01/tile.tif
T0002,T0002_20240601,6/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,286.9,27.8,68.8,2,0.618,0.287,0.493,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.74,train,s3://sat-imagery/seasia/T0002/2024/06/01/tile.tif
T0002,T0002_20240701,7/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,79.6,28.5,33.4,2,0.513,0.102,0.398,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.79,train,s3://sat-imagery/seasia/T0002/2024/07/01/tile.tif
T0002,T0002_20240801,8/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,75.6,28.9,41,3,0.514,0.112,0.402,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.794,train,s3://sat-imagery/seasia/T0002/2024/08/01/tile.tif
T0002,T0002_20240901,9/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,88.2,29.1,23.4,4,0.479,0.147,0.43,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.799,train,s3://sat-imagery/seasia/T0002/2024/09/01/tile.tif
T0002,T0002_20241001,10/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-2.41777,116.19613,290,4.3,214.9,28.9,49.6,1,0.633,0.224,0.466,87.9,30.5,8.19,54.45,7.07,1,0,10.7,21.3,0,0,0.744,train,s3://sat-imagery/seasia/T0002/2024/10/01/tile.tif
T0003,T0003_20240101,1/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,336.1,27.1,34,4,0.501,0.244,0.45,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.832,train,s3://sat-imagery/amazon/T0003/2024/01/01/tile.tif
T0003,T0003_20240201,2/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,339.2,26.7,55.9,0,0.582,0.254,0.45,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.806,train,s3://sat-imagery/amazon/T0003/2024/02/01/tile.tif
T0003,T0003_20240301,3/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,360.6,26.5,51.4,4,0.549,0.253,0.469,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.827,train,s3://sat-imagery/amazon/T0003/2024/03/01/tile.tif
T0003,T0003_20240401,4/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,360.4,26.7,58.5,2,0.59,0.251,0.449,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.815,train,s3://sat-imagery/amazon/T0003/2024/04/01/tile.tif
T0003,T0003_20240501,5/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,208.8,27.1,23,4,0.544,0.219,0.439,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.835,train,s3://sat-imagery/amazon/T0003/2024/05/01/tile.tif
T0003,T0003_20240601,6/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,237.6,27.7,35.7,1,0.558,0.223,0.425,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.817,train,s3://sat-imagery/amazon/T0003/2024/06/01/tile.tif
T0003,T0003_20240701,7/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,127,28.3,3,2,0.467,0.14,0.428,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.846,train,s3://sat-imagery/amazon/T0003/2024/07/01/tile.tif
T0003,T0003_20240801,8/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,61.7,28.7,25.1,10,0.511,0.092,0.349,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.879,train,s3://sat-imagery/amazon/T0003/2024/08/01/tile.tif
T0003,T0003_20240901,9/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,74.2,28.9,28.5,6,0.499,0.1,0.397,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.865,train,s3://sat-imagery/amazon/T0003/2024/09/01/tile.tif
T0003,T0003_20241001,10/1/2024,Amazon,Colombia,Tropical Rainforest,-3.76804,-59.17757,277.2,1.6,189.2,28.8,40.1,5,0.537,0.189,0.476,79.7,29.4,6.76,43.01,12.46,1,1,10.8,12.6,0,0,0.843,train,s3://sat-imagery/amazon/T0003/2024/10/01/tile.tif
T0004,T0004_20240101,1/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,283.6,26.7,78.2,5,0.582,0.261,0.452,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.882,train,s3://sat-imagery/congobasin/T0004/2024/01/01/tile.tif
T0004,T0004_20240201,2/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,324.9,26.3,51.2,2,0.6,0.229,0.457,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.872,train,s3://sat-imagery/congobasin/T0004/2024/02/01/tile.tif
T0004,T0004_20240301,3/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,360.8,26.1,34.3,5,0.55,0.226,0.435,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.885,train,s3://sat-imagery/congobasin/T0004/2024/03/01/tile.tif
T0004,T0004_20240401,4/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,342.3,26.2,65.6,3,0.521,0.221,0.442,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.881,train,s3://sat-imagery/congobasin/T0004/2024/04/01/tile.tif
T0004,T0004_20240501,5/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,273.5,26.7,38.2,4,0.59,0.229,0.497,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.88,train,s3://sat-imagery/congobasin/T0004/2024/05/01/tile.tif
T0004,T0004_20240601,6/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,279.5,27.3,27.9,4,0.589,0.251,0.436,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.879,train,s3://sat-imagery/congobasin/T0004/2024/06/01/tile.tif
T0004,T0004_20240701,7/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,156.9,27.9,39.4,4,0.497,0.153,0.416,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.896,train,s3://sat-imagery/congobasin/T0004/2024/07/01/tile.tif
T0004,T0004_20240801,8/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,75.6,28.3,28.4,7,0.44,0.095,0.384,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.914,train,s3://sat-imagery/congobasin/T0004/2024/08/01/tile.tif
T0004,T0004_20240901,9/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,87.5,28.5,11.1,7,0.538,0.109,0.398,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.908,train,s3://sat-imagery/congobasin/T0004/2024/09/01/tile.tif
T0004,T0004_20241001,10/1/2024,Congo Basin,Congo,Tropical Rainforest,0.35783,16.16895,357.8,7.5,80.4,28.3,56.8,4,0.46,0.123,0.369,78.1,33.8,0.5,23.61,5.18,0,0,21,2.9,0,0,0.904,train,s3://sat-imagery/congobasin/T0004/2024/10/01/tile.tif
T0005,T0005_20240101,1/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,229.1,24.6,16.7,1,0.639,0.216,0.478,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,0,0,0.878,train,s3://sat-imagery/seasia/T0005/2024/01/01/tile.tif
T0005,T0005_20240201,2/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,360.3,24.2,62.5,6,0.626,0.257,0.501,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,0,0,0.89,train,s3://sat-imagery/seasia/T0005/2024/02/01/tile.tif
T0005,T0005_20240301,3/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,361.6,24,43.9,2,0.589,0.274,0.51,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,0,0,0.88,train,s3://sat-imagery/seasia/T0005/2024/03/01/tile.tif
T0005,T0005_20240401,4/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,223.2,24.1,21,4,0.634,0.238,0.487,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,0,0,0.888,train,s3://sat-imagery/seasia/T0005/2024/04/01/tile.tif
T0005,T0005_20240501,5/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,174.5,24.6,71.9,2,0.607,0.219,0.45,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,0,0,0.888,train,s3://sat-imagery/seasia/T0005/2024/05/01/tile.tif
T0005,T0005_20240601,6/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,279.5,25.2,81.6,2,0.607,0.243,0.436,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,0,0,0.88,train,s3://sat-imagery/seasia/T0005/2024/06/01/tile.tif
T0005,T0005_20240701,7/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,129.3,25.8,28.1,5,0.588,0.162,0.451,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,0,0,0.903,train,s3://sat-imagery/seasia/T0005/2024/07/01/tile.tif
T0005,T0005_20240801,8/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,102.2,26.2,40.2,5,0.459,0.15,0.386,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,0,0,0.911,train,s3://sat-imagery/seasia/T0005/2024/08/01/tile.tif
T0005,T0005_20240901,9/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,81,26.4,48,3,0.504,0.125,0.478,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,2.37,1,0.906,train,s3://sat-imagery/seasia/T0005/2024/09/01/tile.tif
T0005,T0005_20241001,10/1/2024,SE Asia,Indonesia,Tropical Rainforest,1.08669,113.12819,207.5,8.4,74.8,26.2,54.9,3,0.478,0.109,0.4,90.5,25.4,13.09,4.49,1.2,0,0,8.2,17.7,2.37,1,0.909,train,s3://sat-imagery/seasia/T0005/2024/10/01/tile.tif
T0006,T0006_20240101,1/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,393.6,25.8,48.1,4,0.633,0.28,0.504,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,0,0,0.87,train,s3://sat-imagery/amazon/T0006/2024/01/01/tile.tif
T0006,T0006_20240201,2/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,389.4,25.4,55.7,2,0.585,0.231,0.488,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,0,0,0.869,train,s3://sat-imagery/amazon/T0006/2024/02/01/tile.tif
T0006,T0006_20240301,3/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,399.2,25.2,47.2,3,0.576,0.249,0.471,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,0,0,0.872,train,s3://sat-imagery/amazon/T0006/2024/03/01/tile.tif
T0006,T0006_20240401,4/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,298.5,25.3,20.9,6,0.538,0.263,0.439,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,0,0,0.884,train,s3://sat-imagery/amazon/T0006/2024/04/01/tile.tif
T0006,T0006_20240501,5/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,272.6,25.8,25.2,1,0.577,0.26,0.464,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,0,0,0.865,train,s3://sat-imagery/amazon/T0006/2024/05/01/tile.tif
T0006,T0006_20240601,6/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,134.7,26.4,25.3,4,0.514,0.105,0.414,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,0,0,0.895,train,s3://sat-imagery/amazon/T0006/2024/06/01/tile.tif
T0006,T0006_20240701,7/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,73,27,7.1,10,0.492,0.127,0.443,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,0,0,0.915,train,s3://sat-imagery/amazon/T0006/2024/07/01/tile.tif
T0006,T0006_20240801,8/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,42.6,27.4,58.5,6,0.421,0.061,0.395,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,2.81,1,0.913,train,s3://sat-imagery/amazon/T0006/2024/08/01/tile.tif
T0006,T0006_20240901,9/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,101,27.6,42.6,4,0.482,0.134,0.42,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,2.81,1,0.898,train,s3://sat-imagery/amazon/T0006/2024/09/01/tile.tif
T0006,T0006_20241001,10/1/2024,Amazon,Peru,Tropical Rainforest,-6.32385,-62.90763,223.7,0.2,37.4,27.4,39,6,0.421,0.044,0.376,84.2,25.5,19.87,20.61,8.07,0,0,11.8,21.2,2.81,1,0.913,train,s3://sat-imagery/amazon/T0006/2024/10/01/tile.tif
T0007,T0007_20240101,1/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,266.2,24.3,62.1,3,0.637,0.275,0.477,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,0,0,0.863,train,s3://sat-imagery/congobasin/T0007/2024/01/01/tile.tif
T0007,T0007_20240201,2/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,401.8,23.8,52.3,1,0.681,0.246,0.499,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,0,0,0.854,train,s3://sat-imagery/congobasin/T0007/2024/02/01/tile.tif
T0007,T0007_20240301,3/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,379.6,23.7,46.3,3,0.634,0.263,0.511,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,0,0,0.864,train,s3://sat-imagery/congobasin/T0007/2024/03/01/tile.tif
T0007,T0007_20240401,4/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,379.8,23.8,36.6,5,0.643,0.268,0.515,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,2.04,1,0.87,train,s3://sat-imagery/congobasin/T0007/2024/04/01/tile.tif
T0007,T0007_20240501,5/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,216.7,24.2,62.7,3,0.646,0.229,0.489,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,3.94,1,0.869,train,s3://sat-imagery/congobasin/T0007/2024/05/01/tile.tif
T0007,T0007_20240601,6/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,108.8,24.8,56,6,0.472,0.175,0.439,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,5.55,1,0.899,train,s3://sat-imagery/congobasin/T0007/2024/06/01/tile.tif
T0007,T0007_20240701,7/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,128.6,25.4,27.3,6,0.507,0.116,0.441,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,5.55,1,0.898,train,s3://sat-imagery/congobasin/T0007/2024/07/01/tile.tif
T0007,T0007_20240801,8/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,55.5,25.9,37.9,4,0.551,0.058,0.411,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,5.55,1,0.897,train,s3://sat-imagery/congobasin/T0007/2024/08/01/tile.tif
T0007,T0007_20240901,9/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,102.3,26.1,27.6,10,0.551,0.109,0.423,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,5.55,1,0.908,train,s3://sat-imagery/congobasin/T0007/2024/09/01/tile.tif
T0007,T0007_20241001,10/1/2024,Congo Basin,Congo,Tropical Rainforest,-0.20045,13.7363,224.4,10.2,63.5,25.9,39.2,6,0.466,0.124,0.431,91.7,17.6,11.44,44.75,2.4,0,0,5.8,22.4,5.55,1,0.904,train,s3://sat-imagery/congobasin/T0007/2024/10/01/tile.tif
T0008,T0008_20240101,1/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,382.9,26.5,55,8,0.579,0.247,0.52,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.887,train,s3://sat-imagery/seasia/T0008/2024/01/01/tile.tif
T0008,T0008_20240201,2/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,424.9,26,65.8,3,0.662,0.245,0.475,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.865,train,s3://sat-imagery/seasia/T0008/2024/02/01/tile.tif
T0008,T0008_20240301,3/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,410,25.8,29.5,4,0.606,0.263,0.514,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.871,train,s3://sat-imagery/seasia/T0008/2024/03/01/tile.tif
T0008,T0008_20240401,4/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,300.7,26,33.8,4,0.667,0.293,0.479,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.866,train,s3://sat-imagery/seasia/T0008/2024/04/01/tile.tif
T0008,T0008_20240501,5/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,270.2,26.4,27.7,6,0.62,0.277,0.483,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.877,train,s3://sat-imagery/seasia/T0008/2024/05/01/tile.tif
T0008,T0008_20240601,6/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,202.2,27,24.6,4,0.602,0.267,0.452,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.876,train,s3://sat-imagery/seasia/T0008/2024/06/01/tile.tif
T0008,T0008_20240701,7/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,174.9,27.6,57,3,0.549,0.194,0.471,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.882,train,s3://sat-imagery/seasia/T0008/2024/07/01/tile.tif
T0008,T0008_20240801,8/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,29.1,28.1,25.2,5,0.474,0.1,0.435,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.906,train,s3://sat-imagery/seasia/T0008/2024/08/01/tile.tif
T0008,T0008_20240901,9/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,16.6,28.2,26.2,7,0.466,0.046,0.404,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.914,train,s3://sat-imagery/seasia/T0008/2024/09/01/tile.tif
T0008,T0008_20241001,10/1/2024,SE Asia,Papua New Guinea,Tropical Rainforest,-0.35574,112.67627,346.5,5.1,12.8,28.1,48.9,11,0.451,0.09,0.424,91.7,30.1,31.02,25.21,1.86,0,0,19.1,35.8,0,0,0.922,train,s3://sat-imagery/seasia/T0008/2024/10/01/tile.tif
T0009,T0009_20240101,1/1/2024,Amazon,Colombia,Tropical Rainforest,-7.75337,-60.41212,255.6,0.9,421.3,26.8,54.6,3,0.534,0.231,0.453,77.1,15.2,4.84,36.27,13.03,0,0,9.9,19.5,0,0,0.882,train,s3://sat-imagery/amazon/T0009/2024/01/01/tile.tif
T0009,T0009_20240201,2/1/2024,Amazon,Colombia,Tropical Rainforest,-7.75337,-60.41212,255.6,0.9,355.1,26.3,62.3,2,0.516,0.238,0.44,77.1,15.2,4.84,36.27,13.03,0,0,9.9,19.5,0,0,0.879,train,s3://sat-imagery/amazon/T0009/2024/02/01/tile.tif
T0009,T0009_20240301,3/1/2024,Amazon,Colombia,Tropical Rainforest,-7.75337,-60.41212,255.6,0.9,337.9,26.2,43.4,5,0.568,0.226,0.432,77.1,15.2,4.84,36.27,13.03,0,0,9.9,19.5,0,0,0.886,train,s3://sat-imagery/amazon/T0009/2024/03/01/tile.tif
T0009,T0009_20240401,4/1/2024,Amazon,Colombia,Tropical Rainforest,-7.75337,-60.41212,255.6,0.9,220.6,26.3,60.9,2,0.492,0.224,0.459,77.1,15.2,4.84,36.27,13.03,0,0,9.9,19.5,0,0,0.885,train,s3://sat-imagery/amazon/T0009/2024/04/01/tile.tif
